iter	Passed	Remaining
640	17033	9540
641	17059	9512
642	17085	9486
643	17114	9460
644	17136	9431
645	17161	9404
646	17186	9376
647	17207	9347
648	17228	9317
649	17249	9288
650	17275	9261
651	17298	9233
652	17320	9203
653	17341	9174
654	17369	9148
655	17388	9118
656	17410	9089
657	17433	9061
658	17460	9035
659	17488	9009
660	17516	8983
661	17539	8955
662	17565	8928
663	17588	8900
664	17614	8873
665	17641	8847
666	17664	8818
667	17690	8792
668	17717	8765
669	17740	8738
670	17763	8709
671	17786	8681
672	17808	8652
673	17829	8623
674	17848	8593
675	17873	8566
676	17893	8537
677	17919	8510
678	17943	8482
679	17963	8453
680	17984	8424
681	18005	8395
682	18025	8366
683	18044	8336
684	18066	8307
685	18092	8281
686	18123	8257
687	18143	8227
688	18162	8198
689	18182	8169
690	18205	8140
691	18224	8111
692	18242	8081
693	18264	8053
694	18287	8025
695	18310	7997
696	18332	7969
697	18359	7943
698	18384	7916
699	18410	7890
700	18431	7861
701	18453	7833
702	18476	7805
703	18496	7776
704	18522	7750
705	18581	7737
706	18610	7712
707	18636	7686
708	18656	7657
709	18677	7628
710	18699	7600
711	18722	7573
712	18739	7543
713	18763	7515
714	18790	7489
715	18826	7467
716	18849	7439
717	18871	7411
718	18894	7384
719	18916	7356
720	18939	7328
721	18961	7301
722	18982	7272
723	19006	7245
724	19033	7219
725	19052	7190
726	19076	7163
727	19102	7137
728	19127	7110
729	19152	7083
730	19173	7055
731	19194	7027
732	19219	7000
733	19245	6974
734	19268	6947
735	19289	6918
736	19310	6891
737	19339	6865
738	19362	6838
739	19383	6810
740	19406	6783
741	19429	6755
742	19454	6729
743	19475	6701
744	19496	6673
745	19520	6646
746	19550	6621
747	19575	6594
748	19597	6567
749	19617	6539
750	19638	6511
751	19667	6486
752	19689	6458
753	19710	6430
754	19733	6403
755	19754	6375
756	19778	6348
757	19801	6321
758	19822	6294
759	19845	6266
760	19872	6241
761	19894	6213
762	19920	6187
763	19937	6158
764	19960	6131
765	19982	6104
766	20003	6076
767	20023	6048
768	20044	6021
769	20070	5994
770	20093	5968
771	20116	5941
772	20138	5913
773	20171	5889
774	20197	5863
775	20218	5836
776	20240	5808
777	20262	5781
778	20287	5755
779	20310	5728
780	20327	5700
781	20351	5673
782	20373	5646
783	20398	5620
784	20420	5592
785	20441	5565
786	20462	5538
787	20484	5511
788	20510	5485
789	20532	5458
790	20554	5431
791	20578	5404
792	20600	5377
793	20640	5355
794	20693	5336
795	20718	5309
796	20744	5283
797	20764	5256
798	20785	5228
799	20805	5201
800	20825	5173
801	20845	5146
802	20867	5119
803	20890	5092
804	20910	5065
805	20937	5039
806	20959	5012
807	20979	4985
808	21002	4958
809	21023	4931
810	21043	4904
811	21064	4876
812	21088	4850
813	21113	4824
814	21138	4798
815	21164	4772
816	21190	4746
817	21212	4719
818	21233	4692
819	21254	4665
820	21275	4638
821	21297	4611
822	21321	4585
823	21343	4558
824	21368	4532
825	21391	4506
826	21415	4479
827	21439	4453
828	21460	4426
829	21481	4399
830	21503	4373
831	21526	4346
832	21548	4320
833	21578	4295
834	21601	4268
835	21625	4242
836	21654	4217
837	21677	4190
838	21699	4164
839	21722	4137
840	21742	4110
841	21765	4084
842	21787	4057
843	21808	4031
844	21830	4004
845	21853	3978
846	21875	3951
847	21898	3925
848	21920	3898
849	21945	3872
850	21974	3847
851	22004	3822
852	22027	3796
853	22050	3769
854	22076	3744
855	22102	3718
856	22124	3691
857	22145	3665
858	22167	3638
859	22193	3612
860	22220	3587
861	22246	3561
862	22273	3535
863	22300	3510
864	22331	3485
865	22362	3460
866	22398	3435
867	22426	3410
868	22450	3384
869	22473	3358
870	22495	3331
871	22520	3305
872	22542	3279
873	22561	3252
874	22585	3226
875	22608	3200
876	22633	3174
877	22655	3147
878	22677	3121
879	22701	3095
880	22774	3076
881	22809	3051
882	22841	3026
883	22869	3000
884	22893	2974
885	22919	2949
886	22942	2922
887	22968	2896
888	22990	2870
889	23014	2844
890	23042	2818
891	23070	2793
892	23095	2767
893	23119	2741
894	23143	2715
895	23168	2689
896	23189	2662
897	23209	2636
898	23233	2610
899	23256	2584
900	23278	2557
901	23303	2531
902	23324	2505
903	23346	2479
904	23371	2453
905	23394	2427
906	23418	2401
907	23441	2375
908	23469	2349
909	23496	2323
910	23518	2297
911	23541	2271
912	23561	2245
913	23585	2219
914	23609	2193
915	23633	2167
916	23658	2141
917	23685	2115
918	23705	2089
919	23732	2063
920	23756	2037
921	23785	2012
922	23812	1986
923	23835	1960
924	23860	1934
925	23887	1908
926	23911	1883
927	23933	1856
928	23955	1830
929	23980	1804
930	24009	1779
931	24030	1753
932	24055	1727
933	24080	1701
934	24107	1675
935	24128	1649
936	24147	1623
937	24170	1597
938	24193	1571
939	24214	1545
940	24237	1519
941	24259	1493
942	24279	1467
943	24308	1442
944	24330	1416
945	24349	1389
946	24372	1364
947	24397	1338
948	24419	1312
949	24442	1286
950	24463	1260
951	24489	1234
952	24514	1209
953	24545	1183
954	24570	1157
955	24595	1131
956	24620	1106
957	24643	1080
958	24670	1054
959	24695	1028
960	24717	1003
961	24744	977
962	24767	951
963	24788	925
964	24857	901
965	24900	876
966	24926	850
967	24951	824
968	24975	798
969	24998	773
970	25020	747
971	25043	721
972	25069	695
973	25094	669
974	25117	644
975	25141	618
976	25166	592
977	25189	566
978	25213	540
979	25236	515
980	25260	489
981	25282	463
982	25305	437
983	25328	411
984	25350	386
985	25384	360
986	25410	334
987	25434	308
988	25460	283
989	25484	257
990	25513	231
991	25536	205
992	25559	180
993	25592	154
994	25615	128
995	25644	102
996	25667	77
997	25693	51
998	25718	25
999	25744	0
